# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECT":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_qhRdrj5U","[""20190612_175832_0.png""]",0,"[]","[2,1505.38,208.4,6.13,7.355]","{}"
"1_Cja9wbX4","[""20190612_175832_0.png""]",0,"[]","[2,1504.154,228.014,8.582,9.807]","{}"
"1_DbcDbBQj","[""20190612_175832_0.png""]",0,"[]","[2,1515.187,247.628,9.807,12.258]","{}"
"1_xWysm8wX","[""20190612_175832_0.png""]",0,"[]","[2,1688.036,243.95,11.033,11.033]","{}"
"1_qKcNV5VY","[""20190612_175832_0.png""]",0,"[]","[2,1653.712,235.369,17.162,18.388]","{}"
"1_R3Pn8q4X","[""20190612_175832_0.png""]",0,"[]","[2,1642.679,234.143,11.033,13.485]","{}"
"1_DigwV7Xk","[""20190612_175832_0.png""]",0,"[]","[2,1637.775,247.628,9.807,9.807]","{}"
"1_ttAg9rlp","[""20190612_175832_0.png""]",0,"[]","[2,1653.712,252.531,11.033,9.807]","{}"
"1_FJLUiN70","[""20190612_175832_0.png""]",0,"[]","[2,1665.97,256.209,11.033,14.71]","{}"
"1_W6XjtLw8","[""20190612_175832_0.png""]",0,"[]","[2,1681.907,267.242,11.033,12.259]","{}"
"1_SnITONz8","[""20190612_175832_0.png""]",0,"[]","[2,1674.552,281.952,11.033,9.807]","{}"
"1_4L6LdjZN","[""20190612_175832_0.png""]",0,"[]","[2,1672.1,295.437,9.807,11.033]","{}"
"1_362rjmCG","[""20190612_175832_0.png""]",0,"[]","[2,1662.293,270.919,11.033,9.807]","{}"
"1_Z8BHXTij","[""20190612_175832_0.png""]",0,"[]","[2,1643.905,273.371,12.258,11.033]","{}"
"1_DKvEeTXg","[""20190612_175832_0.png""]",0,"[]","[2,1632.872,258.661,9.807,11.033]","{}"
"1_Ql5slG49","[""20190612_175832_0.png""]",0,"[]","[2,1625.516,280.726,9.807,11.033]","{}"
"1_v7Kh8J2X","[""20190612_175832_0.png""]",0,"[]","[2,1616.935,292.985,12.259,12.259]","{}"
"1_sFXThWWq","[""20190612_175832_0.png""]",0,"[]","[2,1635.323,288.082,11.033,12.259]","{}"
"1_wR8kG80a","[""20190612_175832_0.png""]",0,"[]","[2,1652.486,291.759,11.033,11.033]","{}"
"1_OXuwZWQZ","[""20190612_175832_0.png""]",0,"[]","[2,1647.582,308.922,12.259,11.033]","{}"
"1_VekJvhJ9","[""20190612_175832_0.png""]",0,"[]","[2,1661.067,317.503,11.033,11.033]","{}"
"1_tDqqiTuh","[""20190612_175832_0.png""]",0,"[]","[2,1632.872,302.792,8.581,12.259]","{}"
"1_NXxUFHcc","[""20190612_175832_0.png""]",0,"[]","[2,1613.258,306.47,9.807,11.033]","{}"
"1_1ndxX2XL","[""20190612_175832_0.png""]",0,"[]","[2,1629.194,315.051,9.807,11.033]","{}"
"1_wxTXZYJf","[""20190612_175832_0.png""]",0,"[]","[2,1637.775,322.406,11.033,13.485]","{}"
"1_mWZubTYf","[""20190612_175832_0.png""]",0,"[]","[2,1645.131,334.665,11.032,13.485]","{}"
"1_PRPIBCGk","[""20190612_175832_0.png""]",0,"[]","[2,1619.387,322.406,11.033,11.033]","{}"
"1_02koh2Q5","[""20190612_175832_0.png""]",0,"[]","[2,1624.291,351.827,15.936,15.937]","{}"
"1_rhTHj3I0","[""20190612_175832_0.png""]",0,"[]","[2,1582.611,335.891,11.033,11.033]","{}"
"1_CwWMef91","[""20190612_175832_0.png""]",0,"[]","[2,1609.58,370.216,13.485,12.258]","{}"
"1_YnCazrjz","[""20190612_175832_0.png""]",0,"[]","[2,1587.514,367.764,15.937,14.71]","{}"
"1_RVjk2nNS","[""20190612_175832_0.png""]",0,"[]","[2,1588.74,351.827,12.259,13.485]","{}"
"1_XtWi5XNx","[""20190612_175832_0.png""]",0,"[]","[2,1569.126,346.924,14.711,14.711]","{}"
"1_bi4Elcid","[""20190612_175832_0.png""]",0,"[]","[2,1555.641,362.86,14.711,13.485]","{}"
"1_nuKxRkIm","[""20190612_175832_0.png""]",0,"[]","[2,1561.771,384.926,14.71,14.711]","{}"
"1_ej83PXqA","[""20190612_175832_0.png""]",0,"[]","[2,1549.512,410.67,15.936,14.71]","{}"
"1_Kilyg1Ip","[""20190612_175832_0.png""]",0,"[]","[2,1534.801,373.893,14.711,14.711]","{}"
"1_vzmUdLo1","[""20190612_175832_0.png""]",0,"[]","[2,1509.058,391.056,14.71,13.484]","{}"
"1_li0KeVvN","[""20190612_175832_0.png""]",0,"[]","[2,1516.413,399.637,18.388,15.936]","{}"
"1_UAaLDab8","[""20190612_175832_0.png""]",0,"[]","[2,1512.736,419.251,18.388,14.71]","{}"
"1_LLAyTEW3","[""20190612_175832_0.png""]",0,"[]","[2,1491.896,400.863,15.936,14.71]","{}"
"1_WgrVwdmY","[""20190612_175832_0.png""]",0,"[]","[2,1460.023,421.703,17.162,14.71]","{}"
"1_Jgj37gjs","[""20190612_175832_0.png""]",0,"[]","[2,1475.959,425.38,20.84,15.937]","{}"
"1_91pMUPXy","[""20190612_175832_0.png""]",0,"[]","[2,1466.152,446.22,23.292,14.711]","{}"
"1_EziSQwaL","[""20190612_175832_0.png""]",0,"[]","[2,1381.566,435.187,20.84,17.163]","{}"
"1_eEbxEhIa","[""20190612_175832_0.png""]",0,"[]","[2,1423.246,438.865,22.066,15.936]","{}"
"1_fOB1ZxL0","[""20190612_175832_0.png""]",0,"[]","[2,1426.924,453.575,18.388,15.937]","{}"
"1_WJtVNnUX","[""20190612_175832_0.png""]",0,"[]","[2,1422.02,471.964,20.84,17.162]","{}"
"1_1Htokbyu","[""20190612_175832_0.png""]",0,"[]","[2,1444.086,470.738,22.066,19.614]","{}"
"1_a0dRuLT9","[""20190612_175832_0.png""]",0,"[]","[2,1393.825,505.062,23.292,15.937]","{}"
"1_AQ19ONpo","[""20190612_175832_0.png""]",0,"[]","[2,1380.341,479.319,20.839,15.936]","{}"
"1_7zrxCgGC","[""20190612_175832_0.png""]",0,"[]","[2,1358.275,473.189,22.066,17.163]","{}"
"1_Gun1mQbT","[""20190612_175832_0.png""]",0,"[]","[2,1346.016,494.03,22.066,17.162]","{}"
"1_tmJiXpmd","[""20190612_175832_0.png""]",0,"[]","[2,1217.299,522.225,20.839,18.388]","{}"
"1_hcSvGTPX","[""20190612_175832_0.png""]",0,"[]","[2,1256.527,508.74,20.84,17.162]","{}"
"1_sGVnc5BB","[""20190612_175832_0.png""]",0,"[]","[2,1287.174,502.611,25.743,18.388]","{}"
"1_ORTtdvfu","[""20190612_175832_0.png""]",0,"[]","[2,1270.011,529.58,25.744,17.162]","{}"
"1_Oib9Urj2","[""20190612_175832_0.png""]",0,"[]","[2,1323.95,538.161,22.066,15.937]","{}"
"1_KISefsYo","[""20190612_175832_0.png""]",0,"[]","[2,1317.821,511.192,20.84,17.162]","{}"
"1_g0XT2HaX","[""20190612_175832_0.png""]",0,"[]","[2,1338.661,516.095,25.743,15.937]","{}"
"1_ff3IbaJy","[""20190612_175832_0.png""]",0,"[]","[2,1135.165,597.003,29.421,20.84]","{}"
"1_X6ScpWfC","[""20190612_175832_0.png""]",0,"[]","[2,1081.226,603.133,31.873,20.84]","{}"
"1_FXRd13Lb","[""20190612_175832_0.png""]",0,"[]","[2,1055.482,585.97,30.647,19.615]","{}"
"1_CcrPYlhH","[""20190612_175832_0.png""]",0,"[]","[2,1035.868,578.615,30.647,18.388]","{}"
"1_bfijj10o","[""20190612_175832_0.png""]",0,"[]","[2,1097.162,628.876,36.777,22.066]","{}"
"1_rB2E6idN","[""20190612_175832_0.png""]",0,"[]","[2,1061.612,628.876,29.421,20.84]","{}"
"1_cwLCzQaV","[""20190612_175832_0.png""]",0,"[]","[2,1028.513,625.199,31.873,22.065]","{}"
"1_Zcz4JrfX","[""20190612_175832_0.png""]",0,"[]","[2,1006.447,647.264,31.873,20.84]","{}"
"1_uyitqJ3k","[""20190612_175832_0.png""]",0,"[]","[2,977.026,642.361,34.325,22.066]","{}"
"1_SZWEi2Ma","[""20190612_175832_0.png""]",0,"[]","[2,983.156,622.747,28.195,20.84]","{}"
"1_zXFySAXG","[""20190612_175832_0.png""]",0,"[]","[2,941.476,615.392,33.098,19.614]","{}"
"1_otPpeHYs","[""20190612_175832_0.png""]",0,"[]","[2,979.478,677.911,36.776,22.066]","{}"
"1_rtb2XFdp","[""20190612_175832_0.png""]",0,"[]","[2,942.701,669.33,35.551,26.97]","{}"
"1_glka2X8z","[""20190612_175832_0.png""]",0,"[]","[2,919.41,663.201,30.647,23.292]","{}"
"1_s1dHr1x0","[""20190612_175832_0.png""]",0,"[]","[2,901.022,653.394,30.647,22.066]","{}"
"1_13zeQXg9","[""20190612_175832_0.png""]",0,"[]","[2,861.793,650.942,35.551,23.292]","{}"
"1_eGjec88W","[""20190612_175832_0.png""]",0,"[]","[2,882.633,633.78,36.777,22.066]","{}"
"1_8SWHSKFU","[""20190612_175832_0.png""]",0,"[]","[2,807.855,655.846,34.324,23.291]","{}"
"1_tViPXBr0","[""20190612_175832_0.png""]",0,"[]","[2,851.986,684.041,35.551,20.84]","{}"
"1_Og4apFey","[""20190612_175832_0.png""]",0,"[]","[2,878.956,693.848,31.873,20.84]","{}"
"1_E7UZMwvO","[""20190612_175832_0.png""]",0,"[]","[2,915.732,698.751,36.777,23.292]","{}"
"1_eJHGpL72","[""20190612_175832_0.png""]",0,"[]","[2,739.205,680.363,38.003,24.518]","{}"
"1_HXcm8p5p","[""20190612_175832_0.png""]",0,"[]","[2,802.951,685.267,34.325,20.84]","{}"
"1_eGCejbtd","[""20190612_175832_0.png""]",0,"[]","[2,783.337,707.333,38.002,23.291]","{}"
"1_aU5UnmAY","[""20190612_175832_0.png""]",0,"[]","[2,813.984,714.688,34.325,24.517]","{}"
"1_mRBYyHqP","[""20190612_175832_0.png""]",0,"[]","[2,842.179,718.365,39.228,29.422]","{}"
"1_t3PxHB40","[""20190612_175832_0.png""]",0,"[]","[2,698.751,715.914,39.229,24.517]","{}"
"1_IMzDWXN5","[""20190612_175832_0.png""]",0,"[]","[2,717.139,728.173,38.003,23.291]","{}"
"1_UjWV9hEi","[""20190612_175832_0.png""]",0,"[]","[2,752.69,734.302,36.777,23.292]","{}"
"1_jeXpZH2q","[""20190612_175832_0.png""]",0,"[]","[2,767.401,750.238,41.68,23.292]","{}"
"1_jZRkmVcv","[""20190612_175832_0.png""]",0,"[]","[2,680.363,775.982,45.358,25.743]","{}"
"1_9ylaC5e6","[""20190612_175832_0.png""]",0,"[]","[2,675.46,757.594,39.228,24.517]","{}"
"1_bbZJHgad","[""20190612_175832_0.png""]",0,"[]","[2,646.039,747.787,44.131,26.969]","{}"
"1_09xEXMXC","[""20190612_175832_0.png""]",0,"[]","[2,600.681,723.269,40.454,33.099]","{}"
"1_gKDAoNaO","[""20190612_175832_0.png""]",0,"[]","[2,551.646,730.624,42.906,24.518]","{}"
"1_GaXcq6UZ","[""20190612_175832_0.png""]",0,"[]","[2,541.839,751.464,39.228,20.84]","{}"
"1_NSXEtEdb","[""20190612_175832_0.png""]",0,"[]","[2,589.648,764.949,44.132,31.873]","{}"
"1_SmyhcFud","[""20190612_175832_0.png""]",0,"[]","[2,615.392,777.208,44.131,28.195]","{}"
"1_RQu0VWtT","[""20190612_175832_0.png""]",0,"[]","[2,616.617,798.048,46.584,29.421]","{}"
"1_fYjXi3GQ","[""20190612_175832_0.png""]",0,"[]","[2,549.194,817.662,46.584,30.647]","{}"
"1_7bjj3uOV","[""20190612_175832_0.png""]",0,"[]","[2,533.258,795.596,42.905,24.518]","{}"
"1_CueZqYFZ","[""20190612_175832_0.png""]",0,"[]","[2,520.999,771.078,40.454,26.97]","{}"
"1_INxX3OPo","[""20190612_175832_0.png""]",0,"[]","[2,459.705,789.467,44.132,24.517]","{}"
"1_5ei6xLAt","[""20190612_175832_0.png""]",0,"[]","[2,457.253,774.756,39.228,24.518]","{}"
"1_cQ4L6D5T","[""20190612_175832_0.png""]",0,"[]","[2,444.994,796.822,90.715,61.294]","{}"
"1_ZLzPyB31","[""20190612_175832_0.png""]",0,"[]","[2,440.091,850.76,53.939,31.873]","{}"
"1_sKhAdFb4","[""20190612_175832_0.png""]",0,"[]","[2,393.507,843.405,55.165,30.647]","{}"
"1_DFNq1WIt","[""20190612_175832_0.png""]",0,"[]","[2,391.056,780.885,50.261,26.97]","{}"
"1_OiYIGRcP","[""20190612_175832_0.png""]",0,"[]","[2,340.795,881.407,52.712,31.873]","{}"
"1_CDMvataX","[""20190612_175832_0.png""]",0,"[]","[2,323.632,861.793,52.713,31.873]","{}"
"1_kmp1LNCZ","[""20190612_175832_0.png""]",0,"[]","[2,333.439,839.728,44.132,29.421]","{}"
"1_Cy3jDNXf","[""20190612_175832_0.png""]",0,"[]","[2,308.922,832.372,50.261,25.744]","{}"
"1_w43kxNvs","[""20190612_175832_0.png""]",0,"[]","[2,277.049,820.114,52.713,31.872]","{}"
"1_PKxcPq27","[""20190612_175832_0.png""]",0,"[]","[2,300.341,804.177,51.486,22.066]","{}"
"1_tHInKQQN","[""20190612_175832_0.png""]",0,"[]","[2,225.562,829.921,46.583,26.969]","{}"
"1_t6ZWxGa1","[""20190612_175832_0.png""]",0,"[]","[2,224.336,856.89,51.487,25.743]","{}"
"1_tL7K0F0g","[""20190612_175832_0.png""]",0,"[]","[2,240.272,883.859,53.939,31.873]","{}"
"1_HEkSM8ZP","[""20190612_175832_0.png""]",0,"[]","[2,186.334,914.506,67.423,42.906]","{}"
"1_XoGAOJ0F","[""20190612_175832_0.png""]",0,"[]","[2,176.527,883.859,49.035,34.325]","{}"
"1_d81J7Phr","[""20190612_175832_0.png""]",0,"[]","[2,137.299,840.953,58.842,35.551]","{}"
"1_FgZhJaRR","[""20190612_175832_0.png""]",0,"[]","[2,68.649,878.956,52.713,26.969]","{}"
"1_wwTw2FPL","[""20190612_175832_0.png""]",0,"[]","[2,55.165,902.247,56.39,29.422]","{}"
"1_3za9ZvvX","[""20190612_175832_0.png""]",0,"[]","[2,69.875,914.506,46.584,31.873]","{}"
"1_trHMvpQI","[""20190612_175832_0.png""]",0,"[]","[2,89.489,907.151,88.264,51.487]","{}"
"1_tCNByshq","[""20190612_175832_0.png""]",0,"[]","[2,30.647,969.671,57.616,33.099]","{}"
